general_name,nb_vald,lat,lon
Buno - Gironville,15592.0,48.37086748401693,2.386751667809506
Bures-sur-Yvette,403896.0,48.6962245884338,2.164407709534241
Buzenval,3642360.0,48.86804659942861,2.345744603041204
By,2596214.0,48.3964417839794,2.783441349755128
Bérault,1411904.0,48.84544892231649,2.429216428632542
Cadet,12857550.0,48.87598381087636,2.343679118569391
Cambronne,2723304.0,48.847655475483805,2.3019686111350577
Camp des Loges,44252.0,48.913960141405695,2.0816715298124233
Campo-Formio,566596.0,48.8355691824776,2.358605395669296
Cardinal Lemoine,1659904.0,48.84658837989424,2.3514690640037923
Carnot,21246015.0,48.866546214991885,2.34430905565628
Carrefour Pleyel,2956947.0,48.919743016432264,2.343558716515897
Censier - Daubenton,3026820.0,48.84045478633966,2.351686405540362
Centre,80842944.0,48.851570293361654,2.5247032061535823
