stop_name,lat,lon
MAIRIE D'IVRY,48.8460095,2.3557922
MAIRIE D.LILAS,48.8797369,2.4160498
MAIRIE D.MONT,,
MAIRIE ST-OUEN,48.8895452,2.3153622
MAIS.ALF-JUIL.,,
MAIS.ALF-STADE,,
MAISON BLANCHE,48.8214836,2.3588859
MAISONS ALFORT,48.8140818,2.4482448
MAISONS LAFFITT,48.9435543,2.1538464
MAISSE,,
MALAK-P.VANVES,,
MALAK.ET.DOLET,,
MALESHERBES,48.8829752,2.3089995
MANTES LA JOLIE,,
MANTES STATION,,
MARAICHERS,48.8527267,2.4061303
MARCADET-POIS.,,
MARCEL SEMBAT,48.8986738,2.3383323
MAREIL,48.8902979,2.1952614
MARLES EN BRIE,48.8406559,2.4108966
MARLY LE ROI,,
MAROLLES,,
MARX DORMOY,48.8905061,2.3599967
MASSY EUROPE T12,,
MASSY PAL T12,,
MASSY VERRIERES,,
MASSY-PALAIS.,,
MASSY-VERRIER.,,
MAUBERT-MUTUA.,,
MAULE,43.475547,-1.144424
MAURECOURT,48.9996844,2.0645333
MEAUX GARE,,
MEE,48.8530132,2.3339522
MELUN GARE,,
MENILMONTANT,48.8667039,2.3833464
MENNECY,,
MERIEL,,
MERY SUR OISE,49.0575255,2.1906711
MEUDON,48.8387201,2.2697807
MEUDON VAL FLEU,,
MEULAN,,
MICHEL BIZOT,48.8370694,2.4024586
MIRABEAU,48.8468116,2.2716976
MIROMESNIL,48.873719,2.3145029
MITRY CLAYE,,
MONCEAU,48.8803157,2.3086415
MONNERVILLE,48.8433952,2.3369741
MONTEREAU,48.3900426,2.9572818
MONTFORT L AMAU,,
MONTGALLET,48.844304,2.3901962
MONTGERON,,
MONTGEROULT,,
MONTIGNY BEAUCH,,
MONTPARNASSE,48.8434755,2.3282995
MONTREUIL,48.8535352,2.4106565
MONTREUIL HOP.,,
MONTRY C T14,,
MONTRY CONDE,,
MONTSOULT,,
MORET VENEUX,,
MORMANT,,
MORTCERF,,
MOULIN GALANT,,
MOUROUX,48.8141617,3.0715181
MOUTON-DUVERN.,,
MUREAUX,,
MUSEE D'ORSAY,48.8599179,2.3265849
Mareil-Marly T13,,
N.D.DE-LORETTE,,
N.D.DES-CHAMPS,48.8447948,2.3306083
NANGIS,,
NANTERRE LA FOLIE RER E,,
NANTERRE UNIVER,,
NANTERRE-PREF.,,
NANTERRE-UNIV.,,
NANTERRE-VILLE,48.8902787,2.1953345
NANTEUIL SAACY,,
NATION,48.8476792,2.3955176
NATIONALE,48.8331995,2.3628272
NEMOURS ST PIER,,
NEUILLY-PLAIS.,,
NEUVILLE UNIVER,,
NEZEL AULNAY,,
NOGENT LE PER,,
NOGENT-S-MARNE,48.8364357,2.4697067
NOINTEL MOURS,,
NOISIEL,48.8691397,2.2785215
NOISY LE SEC,48.8717431,2.4115517
NOISY-CHAMPS,,
NOISY-LE-GRAND,,
NORVILLE ST GER,,
NOUES,48.8641065,2.3994966
Noisy-le-Roi T13,,
OBERKAMPF,48.8641124,2.3694232
ODEON,48.8523043,2.3393706
OLYMPIADES,48.8270448,2.3664175
OPERA,48.8706446,2.33233
ORANGIS,,
ORGERUS,,
ORLY VILLE,,
ORSAY-VILLE,48.8564794,2.3640381
OSNY,49.0745703,2.0789378
OURCQ,48.8870772,2.38664
OZOIR LA FERRIE,,
PALAIS-ROYAL,48.8635847,2.3362042
PALAISEAU,48.7114844,2.189352
PALAISEAU-VIL.,,
PANTIN,48.8886574,2.3926771
PARC DE SCEAUX,48.7946486,2.293668
PARC DES EXPO,48.8287212,2.2889814
PARC DU CHAT T12,,
PARMENTIER,48.8653571,2.3739035
PASSY,48.8575047,2.2809828
PASTEUR,48.8429336,2.3125906
PELLEPORT,48.8680997,2.4013152
PERE-LACHAISE,48.8611297,2.3940087
PEREIRE,48.8847906,2.2983109
PEREIRE-LEVALLOIS,48.8854178,2.2980276
PERNETY,48.8339998,2.3181806
PERRAY,48.0619561,-0.7580375
PERSAN BEAUMONT,,
PETIT JOUY,48.8547291,2.3588228
PETIT VAUX,,
PHIL.AUGUSTE,,
PICPUS,48.8451759,2.4005236
PIERRE CURIE,48.846432,2.3461477
PIERREFITTE STA,,
PIERREFITTE T11,,
PIERRELAYE,,
PIGALLE,48.8822982,2.3380899
PLACE CLICHY,48.8834776,2.3272899
PLACE D'ITALIE,48.8309446,2.3558932
PLACE D. FETES,48.8767148,2.3929992
PLACE MONGE,48.8429053,2.3522772
PLAINE STADE DE,,
PLAISANCE,48.8317665,2.3140421
PLAISIR GRIGNON,,
PLAISIR LES CL,,
PLESSIS CHENET,,
POISSONNIERE,48.8772375,2.3492347
POISSY,48.8465369,2.3511641
PONT CARDINET,48.8880133,2.3137814
PONT D.NEUILLY,48.8765398,2.2453851
PONT DE L'ALMA,48.8625636,2.2999572
PONT DE RUNGIS,,
PONT DE SEVRES,48.8737795,2.3149367
PONT LEVALLOIS,48.867239,2.3645201
PONT MARIE,48.8537872,2.3565905
PONT PETIT,48.8532944,2.3469617
PONT-CARDINET,48.8880133,2.3137814
PONT-NEUF,48.8567753,2.3410884
PONTHIERRY,,
PONTOISE,48.8490865,2.3517531
PORCHEFONTAINE,48.7984986,2.1526223
PORT-ROYAL,48.8400137,2.3370805
PORTE D'ITALIE,48.819054,2.3594056
PORTE D'IVRY,48.8216035,2.3693411
PORTE D.CLIGN.,,
PORTE D.LILAS,48.8774171,2.4074414
PORTE D.VANVES,48.8273299,2.3050575
PORTE D.VERS.,,
PORTE DAUPHINE,48.871598,2.2773184
PORTE DOREE,48.8352765,2.4061775
PORTE MAILLOT,48.8777372,2.2827016
PORTE MAILLOT RER E,,
PORTE-DE-CLICHY,48.8944737,2.3134274
PRE-ST-GERVAIS,48.8802473,2.398843
PRESLES,48.85322,2.2972333
PROVINS,48.875561,2.3581964
PTE CHAMPERRET,48.8858342,2.2931032
PTE CHARENTON,48.8322315,2.3990408
PTE D'AUTEUIL,48.8480881,2.2587539
PTE D'ORLEANS,48.8236307,2.3256075
PTE D. VINCENN,,
PTE D.BAGNOLET,48.856933,2.414633
PTE D.CHAPELLE,,
PTE D.ST-OUEN,48.8971558,2.3288425
PTE D.VILLETTE,48.9011599,2.3892451
PTE DE CHOISY,48.8201241,2.3647858
PTE DE CLICHY,48.8944737,2.3134274
PTE DE PANTIN,48.8886574,2.3926771
PTE MONTREUIL,48.8535352,2.4106565
PTE ST-CLOUD,48.8377937,2.256558
PUTEAUX,48.8772272,2.2441759
PYRAMIDES,48.8657452,2.3344687
PYRENEES,48.8738565,2.3852638
QUAI D.LA GARE,48.8337842,2.3756184
QUAI.LA RAPEE,48.8464813,2.3659024
QUATRE-SEPTEMB,,
RAINCY,49.0093454,2.5626619
